index;p_err;d_err;i_err;rb_speed;U_control;angle
81;-1,000078;-0,2570401;-1,166044;21,22563;-4,825763;-0,0804
82;-1,001072;-0,2386188;-1,182732;21,30439;-4,745036;-0,0791
83;-1,002023;-0,2281782;-1,199436;21,37461;-4,703849;-0,0784
84;-1,002902;-0,2108724;-1,216154;21,45412;-4,628334;-0,0772
85;-1,003742;-0,2016618;-1,232887;21,52499;-4,592942;-0,0766
86;-1,004515;-0,1854144;-1,249632;21,60527;-4,522381;-0,0754
87;-1,005254;-0,177348;-1,26639;21,67681;-4,492384;-0,0749
88;-1,005929;-0,1619873;-1,283158;21,75788;-4,425949;-0,0738
89;-1,006574;-0,1547218;-1,299938;21,8301;-4,39966;-0,0733
90;-1,007157;-0,1399905;-1,316727;21,91195;-4,336086;-0,0723
91;-1,007713;-0,133297;-1,333526;21,98487;-4,312382;-0,0719
92;-1,008208;-0,1189089;-1,350333;22,06752;-4,250259;-0,0709
93;-1,008677;-0,1125015;-1,367147;22,14114;-4,227724;-0,0705
94;-1,009086;-0,09811346;-1,383969;22,22461;-4,165348;-0,0694
95;-1,009469;-0,09182047;-1,400797;22,29894;-4,143128;-0,0691
96;-1,009791;-0,07731799;-1,41763;22,38324;-4,079929;-0,068
97;-1,010087;-0,07096779;-1,434468;22,45829;-4,05717;-0,0676
98;-1,010321;-0,05626507;-1,45131;22,54343;-3,992717;-0,0666
99;-1,010529;-0,04982905;-1,468156;22,61923;-3,96927;-0,0662
100;-1,010674;-0,03492611;-1,485004;22,70523;-3,903558;-0,0651
101;-1,010793;-0,0285473;-1,501853;22,78178;-3,880131;-0,0647
102;-1,01085;-0,01347272;-1,518704;22,86866;-3,813299;-0,0636
103;-1,010879;-0,007036709;-1,535556;22,94598;-3,78932;-0,0632
104;-1,010845;0,008066472;-1,552406;23,03375;-3,722077;-0,062
105;-1,010785;0,01435946;-1,569256;23,11187;-3,69854;-0,0617
106;-1,010663;0,02949125;-1,586104;23,20055;-3,630885;-0,0605
107;-1,010514;0,03561261;-1,602949;23,27947;-3,607934;-0,0601
108;-1,010303;0,05062998;-1,619791;23,3691;-3,54058;-0,059
109;-1,010068;0,0564939;-1,636629;23,44884;-3,518644;-0,0587
110;-1,00977;0,07139686;-1,653462;23,53942;-3,451595;-0,0575
111;-1,009449;0,07694613;-1,670289;23,62001;-3,430962;-0,0572
112;-1,009067;0,09176327;-1,68711;23,71157;-3,364079;-0,0561
113;-1,008663;0,0970551;-1,703925;23,79302;-3,344468;-0,0558
114;-1,008197;0,1117292;-1,720731;23,88558;-3,27804;-0,0546
115;-1,00771;0,1167922;-1,73753;23,96791;-3,259312;-0,0543
116;-1,007163;0,1314091;-1,754319;24,06149;-3,192914;-0,0532
117;-1,006595;0,1362433;-1,771099;24,14472;-3,175072;-0,0529
118;-1,005966;0,150803;-1,787868;24,23935;-3,108706;-0,0518
119;-1,005319;0,1553797;-1,804627;24,32351;-3,091894;-0,0515
120;-1,004611;0,1698822;-1,821374;24,4192;-3,025564;-0,0504
121;-1,003884;0,1742873;-1,838109;24,5043;-3,009357;-0,0502
122;-1,003098;0,1887039;-1,85483;24,6011;-2,943206;-0,0491
123;-1,002294;0,1928516;-1,871539;24,68716;-2,928034;-0,0488
124;-1,00143;0,2072969;-1,888232;24,78508;-2,861495;-0,0477
125;-1,00055;0,2112443;-1,904912;24,87214;-2,847074;-0,0475
126;-0,9996093;0,2257325;-1,921575;24,97121;-2,780078;-0,0463
127;-0,9986528;0,2295226;-1,938223;25,05927;-2,766196;-0,0461
128;-0,9976363;0,2439106;-1,954853;25,15952;-2,699454;-0,045
129;-0,9966046;0,2475434;-1,971467;25,24863;-2,686112;-0,0448
130;-0,9955133;0,2618743;-1,988062;25,35009;-2,619414;-0,0437
131;-0,994408;0,265221;-2,004639;25,44027;-2,607256;-0,0435
132;-0,9932431;0,2795089;-2,021196;25,54296;-2,540532;-0,0424
